YEAR,FIRM,SALE,XOPR
2016,ORBT,21,19
2017,ORBT,21,19
2018,ORBT,25,23
2011,BPET.1,0,0
2012,BPET.1,0,0
2010,OC,4997,4289
2011,OC,5335,4591
2012,OC,5172,4578
2013,OC,5295,4550
2014,OC,5276,4552
2015,OC,5350,4485
2016,OC,5677,4584
2017,OC,6384,5115
2018,OC,7057,5765
2010,OI,6633,5456
2011,OI,7358,6192
2012,OI,7000,5865
2013,OI,6967,5859
2014,OI,6796,5709
2015,OI,6168,5215
2016,OI,6715,5683
2017,OI,6880,5899
2018,OI,6890,5742
2009,OXM,814,749
2010,OXM,619,557
2011,OXM,776,678
2012,OXM,872,770
2013,OXM,935,817
2014,OXM,1016,894
2015,OXM,984,850
2016,OXM,1037,901
2017,OXM,1100,970
2018,OXM,1121,984
2010,PFIN,51,47
2011,PFIN,55,50
2012,PFIN,60,54
2013,PFIN,76,69
2014,PFIN,75,68
2015,PFIN,82,73
2016,PFIN,57,55
2017,PFIN,59,57
2018,PFIN,65,61
2010,PPG,13481,11587
2011,PPG,14940,12736
2012,PPG,15251,12853
2013,PPG,15156,12781
2014,PPG,15410,12993
2015,PPG,15369,12756
2016,PPG,14766,12149
2017,PPG,14759,12224
2018,PPG,15384,13015
2010,PCAR,10293,8813
2011,PCAR,16355,14021
2012,PCAR,17051,14596
2013,PCAR,17124,14486
2014,PCAR,18997,15945
2015,PCAR,19115,15762
2016,PCAR,17033,13966
2017,PCAR,19456,16056
2018,PCAR,23496,19566
2010,PLL.1,2402,1917
2011,PLL.1,2741,2171
2012,PLL.1,2672,2114
2013,PLL.1,2648,2074
2014,PLL.1,2789,2156
2010,7259B,1009,845
2011,7259B,926,722
2012,7259B,0,0
2013,7259B,1097,814
2014,7259B,1309,893
2010,PAR,240,233
2011,PAR,229,218
2012,PAR,245,238
2013,PAR,241,238
2014,PAR,234,232
2015,PAR,229,219
2016,PAR,230,220
2017,PAR,233,225
2018,PAR,201,203
2010,PARF,24,22
2011,PARF,25,23
2012,PARF,26,24
2013,PARF,24,23
2014,PARF,25,24
2015,PARF,24,22
2016,PARF,23,21
2017,PARF,22,21
2018,PARF,20,20
2009,PKE,176,142
2010,PKE,212,163
2011,PKE,193,161
2012,PKE,176,148
2013,PKE,166,138
2014,PKE,162,133
2015,PKE,146,121
2016,PKE,115,101
2017,PKE,111,100
2018,PKE,51,42
2010,PH,9993,8716
2011,PH,12346,10502
2012,PH,13146,11146
2013,PH,13016,11297
2014,PH,13216,11386
2015,PH,12712,10852
2016,PH,11361,9787
2017,PH,12029,10197
2018,PH,14302,11874
2019,PH,14320,11772
2010,PATK,278,270
2011,PATK,308,290
2012,PATK,437,405
2013,PATK,595,547
2014,PATK,736,673
2015,PATK,920,834
2016,PATK,1222,1107
2017,PATK,1636,1480
2018,PATK,2263,2030
2010,PMFG,117,106
2011,PMFG,122,118
2012,PMFG,135,129
2013,PMFG,134,127
2014,PMFG,131,138
2015,PMFG,159,161
2010,PNR,3031,2614
2011,PNR,3457,2945
2012,PNR,4416,3905
2013,PNR,7480,6208
2014,PNR,7039,5836
2015,PNR,6449,5288
2016,PNR,4890,3971
2017,PNR,4937,3942
2018,PNR,2965,2389
2010,PEP,57838,45733
2011,PEP,66504,53520
2012,PEP,65492,53114
2013,PEP,66415,53831
2014,PEP,66683,54025
2015,PEP,63056,50591
2016,PEP,62799,50101
2017,PEP,63525,50336
2018,PEP,64661,51805
2010,PFE,67791,41237
2011,PFE,67425,38630
2012,PFE,58986,32409
2013,PFE,51584,28286
2014,PFE,49605,29824
2015,PFE,48851,29835
2016,PFE,52824,32766
2017,PFE,52546,31430
2018,PFE,53647,31829
2010,MO,16892,10235
2011,MO,17109,10066
2012,MO,17507,9966
2013,MO,17663,9355
2014,MO,17945,10118
2015,MO,18854,10264
2016,MO,19337,10168
2017,MO,19494,9570
2018,MO,19627,9753
2010,PHG,33728,28921
2011,PHG,29292,25781
2012,PHG,32685,28392
2013,PHG,32145,27519
2014,PHG,25885,23148
2015,PHG,26327,23082
2016,PHG,25869,22387
2017,PHG,21375,18062
2018,PHG,20747,17391
2019,PHG,21862,18407
2009,PVH,2399,2084
2010,PVH,4637,3991
2011,PVH,5891,5091
2012,PVH,6043,5190
2013,PVH,8221,6988
2014,PVH,8241,7232
2015,PVH,8020,6925
2016,PVH,8203,7146
2017,PVH,8915,7779
2018,PVH,9657,8414
2009,SENEA,1280,1173
2010,SENEA,1195,1140
2011,SENEA,1262,1215
2012,SENEA,1276,1181
2013,SENEA,1340,1296
2014,SENEA,1286,1249
2015,SENEA,1275,1180
2016,SENEA,1246,1188
2017,SENEA,1315,1282
2018,SENEA,1200,1203
2010,PBI,5425,4292
2011,PBI,5278,4224
2012,PBI,4904,3912
2013,PBI,3869,3045
2014,PBI,3822,2972
2015,PBI,3578,2760
2016,PBI,3407,2668
2017,PBI,3550,2905
2018,PBI,3522,2938
2019,PBI,3205,2818
2009,PLT,614,491
2010,PLT,684,531
2011,PLT,713,558
2012,PLT,762,606
2013,PLT,819,661
2014,PLT,865,706
2015,PLT,857,714
2016,PLT,881,728
2017,PLT,857,702
2018,PLT,1675,1445
2009,POLXF,4,5
2010,POLXF,4,5
2011,POLXF,6,6
2012,POLXF,5,5
2013,POLXF,6,5
2014,POLXF,5,5
2015,POLXF,6,5
2016,POLXF,7,5
2017,POLXF,5,4
2018,POLXF,5,4
2010,PCH,539,431
2011,PCH,497,394
2012,PCH,525,416
2013,PCH,570,434
2014,PCH,607,449
2015,PCH,575,480
2016,PCH,599,482
2017,PCH,679,497
2018,PCH,975,695
2019,PCH,827,670
2010,POWL,551,482
2011,POWL,562,534
2012,POWL,717,656
2013,POWL,671,611
2014,POWL,648,606
2015,POWL,662,624
2016,POWL,565,528
2017,POWL,396,401
2018,POWL,449,444
2019,POWL,517,494
2009,PCP,5487,3910
2010,PCP,6220,4555
2011,PCP,7215,5229
2012,PCP,8378,5993
2013,PCP,9616,6656
2014,PCP,10005,6949
2015,PCP,7002,5251
2010,PG,78938,59809
2011,PG,82559,63903
2012,PG,83680,64556
2013,PG,84167,65156
2014,PG,83062,63629
2015,PG,76279,58375
2016,PG,65299,47860
2017,PG,65058,47553
2018,PG,66832,49217
2019,PG,67684,50294
2010,KWR,544,480
2011,KWR,683,612
2012,KWR,708,626
2013,KWR,729,640
2014,KWR,766,668
2015,KWR,738,637
2016,KWR,747,643
2017,KWR,820,707
2018,KWR,868,743
2010,ASYS,120,102
2011,ASYS,247,202
2012,ASYS,82,106
2013,ASYS,35,51
2014,ASYS,57,67
2015,ASYS,105,110
2016,ASYS,120,125
2017,ASYS,165,152
2018,ASYS,176,165
2019,ASYS,85,78
2009,QMCO,681,599
2010,QMCO,672,604
2011,QMCO,652,614
2012,QMCO,588,594
2013,QMCO,553,534
2014,QMCO,553,524
2015,QMCO,476,476
2016,QMCO,505,484
2017,QMCO,438,451
2018,QMCO,403,378
2009,RPM,3413,2999
2010,RPM,3382,2965
2011,RPM,3777,3319
2012,RPM,4082,3581
2013,RPM,4376,3804
2014,RPM,4595,3996
2015,RPM,4814,4155
2016,RPM,4958,4307
2017,RPM,5322,4637
2018,RPM,5565,4847
2009,RAVN,238,187
2010,RAVN,315,247
2011,RAVN,382,297
2012,RAVN,406,316
2013,RAVN,395,316
2014,RAVN,378,317
2015,RAVN,258,221
2016,RAVN,277,233
2017,RAVN,377,303
2018,RAVN,407,336
2010,RTN,25499,22077
2011,RTN,24857,21411
2012,RTN,24414,20930
2013,RTN,23706,20278
2014,RTN,22826,19168
2015,RTN,23247,19894
2016,RTN,24069,20472
2017,RTN,25348,21480
2018,RTN,27058,21960
2019,RTN,29176,23779
2010,RBC,2238,1921
2011,RBC,2808,2401
2012,RBC,3167,2719
2013,RBC,3096,2667
2014,RBC,3257,2805
2015,RBC,3510,2968
2016,RBC,3225,2753
2017,RBC,3360,2879
2018,RBC,3646,3108
2019,RBC,3238,2774
2009,RICOY,21588,19822
2010,RICOY,23466,21610
2011,RICOY,23098,21341
2012,RICOY,20439,18699
2013,RICOY,21322,19121
2014,RICOY,18606,16733
2015,RICOY,19650,17960
2016,RICOY,18211,16878
2017,RICOY,19429,18043
2018,RICOY,18169,16406
2009,RSKIA,8,7
2010,RSKIA,9,7
2011,RSKIA,10,7
2012,RSKIA,11,8
2013,RSKIA,11,7
2014,RSKIA,12,8
2015,RSKIA,11,8
2016,RSKIA,11,8
2017,RSKIA,12,9
2018,RSKIA,14,10
2010,RBN,585,516
2011,RBN,821,643
2012,RBN,1035,792
2010,ROK,4857,4125
2011,ROK,6000,4944
2012,ROK,6259,5090
2013,ROK,6352,5171
2014,ROK,6624,5287
2015,ROK,6308,4949
2016,ROK,5880,4699
2017,ROK,6311,5110
2018,ROK,6666,5228
2019,ROK,6695,5181
2010,ROG,379,335
2011,ROG,553,468
2012,ROG,499,428
2013,ROG,537,449
2014,ROG,611,497
2015,ROG,641,518
2016,ROG,656,529
2017,ROG,821,643
2018,ROG,879,712
2010,KIDBQ,276,242
2011,KIDBQ,253,236
2012,KIDBQ,229,224
2013,KIDBQ,188,194
2010,SLI,190,173
2011,SLI,212,191
2012,SLI,201,184
2013,SLI,205,184
2014,SLI,204,182
2015,SLI,200,176
2010,PVCT,0,20
2011,PVCT,0,21
2012,PVCT,0,14
2013,PVCT,0,12
2014,PVCT,0,16
2015,PVCT,0,24
2016,PVCT,0,24
2017,PVCT,0,13
2018,PVCT,0,7
2010,STJ,5165,3540
2011,STJ,5612,3915
2012,STJ,5503,3728
2013,STJ,5501,3782
2014,STJ,5622,3862
2015,STJ,5541,3895
2010,HSH,10793,9391
2011,HSH,8681,7539
2012,HSH,4094,3578
2013,HSH,3920,3399
2014,HSH,4085,3550
2009,SCHL,1913,1665
2010,SCHL,1906,1725
2011,SCHL,2149,1871
2012,SCHL,1792,1641
2013,SCHL,1822,1653
2014,SCHL,1636,1513
2015,SCHL,1673,1542
2016,SCHL,1742,1597
2017,SCHL,1628,1513
2018,SCHL,1654,1560
2010,SHLM,1590,1499
2011,SHLM,2193,2065
2012,SHLM,2107,1981
2013,SHLM,2133,2011
2014,SHLM,2447,2301
2015,SHLM,2392,2215
2016,SHLM,2496,2278
2017,SHLM,2461,2267
2010,SCND,7,6
2011,SCND,6,5
2012,SCND,6,6
2013,SCND,7,6
2014,SCND,7,7
2015,SCND,8,7
2016,SCND,10,9
2017,SCND,8,8
2018,SCND,8,8
2019,SCND,10,9
2011,3SCRD,0,0
2010,SLGD,14,14
2011,SLGD,16,16
2012,SLGD,16,16
2013,SLGD,19,18
2014,SLGD,24,22
2015,SLGD,29,27
2016,SLGD,35,31
2017,SLGD,42,34
2018,SLGD,37,33
2010,SEE,4490,3782
2011,SEE,5641,4886
2012,SEE,7648,6717
2013,SEE,7691,6704
2014,SEE,7751,6712
2015,SEE,7032,5933
2016,SEE,6778,5714
2017,SEE,4462,3665
2018,SEE,4733,3876
2019,SEE,4791,3961
2010,IIN,59,55
2011,IIN,56,55
2012,IIN,64,61
2013,IIN,53,52
2014,IIN,68,63
2015,IIN,70,65
2016,IIN,68,68
2017,IIN,88,84
2018,IIN,116,107
2009,SMTC,287,245
2010,SMTC,455,349
2011,SMTC,481,360
2012,SMTC,579,451
2013,SMTC,595,468
2014,SMTC,558,440
2015,SMTC,490,412
2016,SMTC,544,437
2017,SMTC,588,452
2018,SMTC,627,493
2010,SVT,32,28
2011,SVT,34,30
2012,SVT,31,27
2013,SVT,30,28
2014,SVT,32,30
2015,SVT,37,34
2016,SVT,39,35
2017,SVT,41,38
2018,SVT,48,42
2010,SAWLF,1034,855
2011,SAWLF,1157,1017
2012,SAWLF,1483,1219
2013,SAWLF,1848,1433
2014,SAWLF,1890,1550
2015,SAWLF,1811,1568
2016,SAWLF,1209,1138
2017,SAWLF,1567,1334
2018,SAWLF,1409,1287
2010,SHW,7776,6848
2011,SHW,8766,7801
2012,SHW,9534,8329
2013,SHW,10186,8849
2014,SHW,11130,9610
2015,SHW,11339,9495
2016,SHW,11856,9837
2017,SHW,14984,12461
2018,SHW,17534,14387
2010,SIF,83,73
2011,SIF,107,92
2012,SIF,125,109
2013,SIF,116,96
2014,SIF,120,105
2015,SIF,109,103
2016,SIF,119,116
2017,SIF,121,118
2018,SIF,111,110
2019,SIF,112,111
2010,SIAL,2271,1596
2011,SIAL,2505,1744
2012,SIAL,2623,1814
2013,SIAL,2704,1883
2014,SIAL,2785,1938
2010,SYMM,221,192
2011,SYMM,208,183
2012,SYMM,238,214
2013,SYMM,211,202
2009,SKY.1,136,155
2010,SKY.1,162,186
2011,SKY.1,183,202
2012,SKY.1,178,188
2013,SKY.1,192,203
2014,SKY.1,187,190
2015,SKY.1,212,209
2016,SKY.1,237,236
2010,AOS,1489,1331
2011,AOS,1711,1526
2012,AOS,1939,1683
2013,AOS,2154,1845
2014,AOS,2356,2009
2015,AOS,2537,2074
2016,AOS,2686,2160
2017,AOS,2997,2406
2018,AOS,3188,2564
2019,AOS,2993,2449
2009,0173A,11203,10861
2010,0173A,12203,11058
2011,0173A,13094,12087
2012,0173A,13221,12474
2013,0173A,0,0
2014,0173A,15031,13927
2015,0173A,14438,13434
2009,SJM,4605,3586
2010,SJM,4826,3724
2011,SJM,5526,4410
2012,SJM,5898,4689
2013,SJM,5611,4409
2014,SJM,5693,4545
2015,SJM,7811,6124
2016,SJM,7389,5732
2017,SJM,7357,5676
2018,SJM,7838,6226
2010,SNA,2682,2263
2011,SNA,2979,2435
2012,SNA,3099,2490
2013,SNA,3238,2568
2014,SNA,3493,2722
2015,SNA,3593,2746
2016,SNA,3712,2771
2017,SNA,4000,2979
2018,SNA,4070,3025
2019,SNA,4068,3025
2009,SODI,8,7
2010,SODI,9,7
2011,SODI,8,7
2012,SODI,8,8
2013,SODI,9,8
2014,SODI,10,9
2015,SODI,8,8
2016,SODI,7,9
2017,SODI,9,9
2018,SODI,9,11
2010,SON,4124,3590
2011,SON,4499,3952
2012,SON,4786,4210
2013,SON,4848,4264
2014,SON,5017,4411
2015,SON,4964,4342
2016,SON,4783,4141
2017,SON,5037,4368
2018,SON,5391,4658
2009,SNE,77238,70810
2010,SNE,86772,79948
2011,SNE,78499,75197
2012,SNE,71929,69412
2013,SNE,75425,71405
2014,SNE,68435,63950
2015,SNE,72102,66373
2016,SNE,68246,61738
2017,SNE,80364,70634
2018,SNE,78205,68099
2010,SPAN,52,45
2011,SPAN,53,46
2012,SPAN,76,67
2013,SPAN,74,65
2014,SPAN,56,51
2015,SPAN,64,58
2016,SPAN,68,60
2010,SPAR,481,457
2011,SPAR,426,411
2012,SPAR,471,452
2013,SPAR,470,463
2014,SPAR,507,497
2015,SPAR,550,550
2016,SPAR,591,572
2017,SPAR,707,678
2018,SPAR,816,785
2010,SEH,1023,969
2011,SEH,1102,1048
2012,SEH,1149,1093
2010,SPA,174,164
2011,SPA,203,190
2012,SPA,224,207
2013,SPA,266,245
2014,SPA,336,307
2015,SPA,382,349
2016,SPA,419,387
2017,SPA,398,372
2018,SPA,375,343
2010,SPEC.2,164,136
2010,SPIR,80,83
2011,SPIR,62,64
2012,SPIR,22,28
2013,SPIR,15,22
2010,STAA,55,55
2011,STAA,63,57
2012,STAA,64,60
2013,STAA,72,67
2014,STAA,75,80
2015,STAA,77,80
2016,STAA,82,92
2017,STAA,91,91
2018,STAA,124,115
2009,SMSC,308,289
2010,SMSC,409,358
2011,SMSC,412,351
2010,SMP,811,748
2011,SMP,875,799
2012,SMP,949,860
2013,SMP,984,877
2014,SMP,980,867
2015,SMP,972,875
2016,SMP,1058,937
2017,SMP,1116,989
2018,SMP,1092,986
2010,SRCTQ,668,636
2011,SRCTQ,648,635
2012,SRCTQ,602,582
2013,SRCTQ,720,675
2010,SXI,578,520
2011,SXI,634,567
2012,SXI,635,559
2013,SXI,701,617
2014,SXI,716,625
2015,SXI,772,673
2016,SXI,752,652
2017,SXI,755,654
2018,SXI,868,745
2019,SXI,792,679
2010,SWK,8410,7149
2011,SWK,10376,8770
2012,SWK,10191,8621
2013,SWK,11001,9379
2014,SWK,11339,9535
2015,SWK,11172,9329
2016,SWK,11407,9500
2017,SWK,12747,10568
2018,SWK,13982,11799
2019,SWK,14442,11938
2010,SCX,204,193
2011,SCX,245,223
2012,SCX,260,252
2013,SCX,244,235
2014,SCX,247,226
2015,SCX,242,224
2016,SCX,210,219
2017,SCX,207,200
2018,SCX,216,204
2019,SCX,228,209
2010,SCL,1431,1282
2011,SCL,1843,1677
2012,SCL,1804,1624
2013,SCL,1881,1718
2014,SCL,1927,1759
2015,SCL,1776,1589
2016,SCL,1769,1558
2017,SCL,1925,1697
2018,SCL,1994,1759
2010,SYK,7320,5247
2011,SYK,8307,6054
2012,SYK,8657,6471
2013,SYK,9021,7228
2014,SYK,9675,7071
2015,SYK,9946,7278
2016,SYK,11325,8211
2017,SYK,12444,9042
2018,SYK,13601,9778
2019,SYK,14884,10662
2010,RGR,256,202
2011,RGR,330,255
2012,RGR,493,366
2013,RGR,689,493
2014,RGR,545,412
2015,RGR,552,420
2016,RGR,665,495
2017,RGR,523,412
2018,RGR,496,397
2010,SUN.1,34915,33802
2011,SUN.1,44578,43879
2010,SUP,720,631
2011,SUP,822,755
2012,SUP,821,762
2013,SUP,790,727
2014,SUP,745,689
2015,SUP,728,651
2016,SUP,733,644
2017,SUP,1108,973
2018,SUP,1502,1310
2010,SGC,106,98
2011,SGC,112,104
2012,SGC,119,111
2013,SGC,151,139
2014,SGC,196,174
2015,SGC,210,187
2016,SGC,253,226
2017,SGC,267,236
2018,SGC,346,311
2009,SUPX,67,60
2010,SUPX,83,65
2011,SUPX,66,60
2012,SUPX,61,57
2010,STRN,23,18
2011,STRN,20,18
2012,STRN,25,23
2013,STRN,27,25
2014,STRN,26,25
2010,SNKI,133,124
2011,SNKI,139,128
2010,SYNL,151,142
2011,SYNL,171,159
2012,SYNL,198,187
2013,SYNL,221,215
2014,SYNL,200,179
2015,SYNL,175,168
2016,SYNL,139,140
2017,SYNL,201,193
2018,SYNL,281,251
2009,3NZYM,15,13
2009,TTDKY,8660,7434
2010,TTDKY,10582,8873
2011,TTDKY,9883,8565
2012,TTDKY,9044,7961
2013,TTDKY,9560,8398
2014,TTDKY,9024,7729
2015,TTDKY,10250,8673
2016,TTDKY,10576,9185
2017,TTDKY,11975,10338
2018,TTDKY,12470,10525
2010,TIII,54,49
2011,TIII,56,53
2010,TNRK,9,9
2011,TNRK,9,9
2010,TSTY,172,176
2009,TAYD,18,16
2010,TAYD,21,19
2011,TAYD,29,26
2012,TAYD,25,21
2013,TAYD,20,18
2014,TAYD,31,27
2015,TAYD,36,29
2016,TAYD,26,22
2017,TAYD,24,23
2018,TAYD,34,30
2010,TCCO,22,11
2011,TCCO,12,8
2012,TCCO,8,9
2013,TCCO,6,8
2014,TCCO,6,8
2015,TCCO,6,7
2016,TCCO,3,5
2017,TCCO,4,6
2018,TCCO,4,5
2019,TCCO,7,6
2010,PULS.1,432,398
2011,PULS.1,369,360
2012,PULS.1,373,366
2013,PULS.1,356,341
2014,PULS.1,344,327
2009,TRCI,35,29
2010,TECU,934,910
2011,TECU,864,894
2012,TECU,855,861
2013,TECU,824,816
2014,TECU,724,721
2010,ATI,4048,3736
2011,ATI,5183,4561
2012,ATI,5032,4529
2013,ATI,4044,3850
2014,ATI,4223,3960
2015,ATI,3720,3729
2016,ATI,3135,3068
2017,ATI,3525,3185
2018,ATI,4047,3543
2019,ATI,4123,3601
2010,TFX,1802,1433
2011,TFX,1529,1194
2012,TFX,1551,1226
2013,TFX,1696,1327
2014,TFX,1840,1434
2015,TFX,1810,1374
2016,TFX,1868,1375
2017,TFX,2146,1531
2018,TFX,2448,1762
2010,TLAB,1642,1365
2011,TLAB,1286,1289
2012,TLAB,1053,1040
2010,TIN,3799,3393
2010,TNC,668,607
2011,TNC,754,676
2012,TNC,739,655
2013,TNC,752,666
2014,TNC,822,730
2015,TNC,812,726
2016,TNC,809,722
2017,TNC,1003,898
2018,TNC,1124,1001
2010,TEN,5937,5414
2011,TEN,7205,6590
2012,TEN,7363,6715
2013,TEN,7964,7254
2014,TEN,8420,7633
2015,TEN,8209,7424
2016,TEN,8599,7836
2017,TEN,9274,8415
2018,TEN,11763,10708
2010,TER,1609,1110
2011,TER,1429,1081
2012,TER,1657,1242
2013,TER,1428,1105
2014,TER,1648,1300
2015,TER,1640,1253
2016,TER,1753,1336
2017,TER,2137,1501
2018,TER,2101,1505
2019,TER,2295,1644
2010,ANDV,20253,19863
2011,ANDV,29927,28537
2012,ANDV,32484,30491
2013,ANDV,37034,35863
2014,ANDV,40062,38036
2015,ANDV,28163,24745
2016,ANDV,24005,21915
2017,ANDV,34204,31743
2012,VIVXF,0,2
2013,VIVXF,0,3
2014,VIVXF,0,2
2015,VIVXF,0,2
2016,VIVXF,0,3
2017,VIVXF,0,5
2018,VIVXF,1,5
2019,VIVXF,1,5
2011,BEES,0,0
2012,BEES,0,2
2013,BEES,0,1
2009,TXI,621,573
2010,TXI,622,607
2011,TXI,647,613
2012,TXI,697,638
2010,TXN,13966,8647
2011,TXN,13697,9200
2012,TXN,12690,9156
2013,TXN,12205,8247
2014,TXN,13045,7910
2015,TXN,13000,7654
2016,TXN,13370,7631
2017,TXN,14961,7963
2018,TXN,15784,8114
2019,TXN,14383,7646
2010,TXT,10525,9619
2011,TXT,11275,10075
2012,TXT,12237,10802
2013,TXT,12104,10885
2014,TXT,13878,12341
2015,TXT,13423,11827
2016,TXT,13788,12181
2017,TXT,14198,12701
2018,TXT,13972,12445
2010,TMO,10789,8679
2011,TMO,11726,9386
2012,TMO,12510,9897
2013,TMO,13090,10313
2014,TMO,16890,12845
2015,TMO,16965,12790
2016,TMO,18274,13683
2017,TMO,20918,15624
2018,TMO,24358,18177
2010,TNB,2004,1688
2011,TNB,2298,1922
2010,THO,2277,2104
2011,THO,2756,2588
2012,THO,3085,2883
2013,THO,3242,2997
2014,THO,3525,3251
2015,THO,4007,3685
2016,THO,4582,4137
2017,THO,7247,6589
2018,THO,8329,7604
2019,THO,7865,7293
2010,THOR.1,383,257
2011,THOR.1,423,283
2012,THOR.1,492,345
2013,THOR.1,503,377
2014,THOR.1,478,392
2010,TKR,4056,3402
2011,TKR,5170,4234
2012,TKR,4987,4061
2013,TKR,4341,3681
2014,TKR,3076,2584
2015,TKR,2872,2435
2016,TKR,2670,2283
2017,TKR,3004,2568
2018,TKR,3581,2973
2019,TKR,3790,3096
2009,TOD,180,165
2010,TOFB,18,17
2011,TOFB,16,16
2012,TOFB,14,15
2013,TOFB,15,16
2014,TOFB,14,15
2015,TOFB,14,14
2016,TOFB,14,14
2017,TOFB,14,13
2018,TOFB,13,13
2010,TR,521,437
2011,TR,533,455
2012,TR,550,460
2013,TR,543,451
2014,TR,544,439
2015,TR,540,429
2016,TR,521,409
2017,TR,519,427
2018,TR,519,429
2010,TTC,1691,1494
2011,TTC,1885,1651
2012,TTC,1960,1700
2013,TTC,2043,1757
2014,TTC,2174,1856
2015,TTC,2392,2030
2016,TTC,2393,1995
2017,TTC,2506,2086
2018,TTC,2620,2185
2019,TTC,3139,2647
2009,TTLO,7,7
2010,TTLO,11,10
2011,TTLO,11,10
2012,TTLO,12,11
2013,TTLO,13,12
2014,TTLO,14,13
2015,TTLO,16,15
2016,TTLO,16,16
2017,TTLO,18,19
2018,TTLO,21,19
2009,TOSYY,68619,64133
2010,TOSYY,77314,71266
2011,TOSYY,74023,68519
2012,TOSYY,61600,57224
2013,TOSYY,63144,58510
2014,TOSYY,55484,52480
2015,TOSYY,50424,51586
2016,TOSYY,43719,39674
2017,TOSYY,37171,35456
2018,TOSYY,33333,32077
2010,IWAT,31,33
2011,IWAT,50,48
2010,TNLX,24,23
2011,TNLX,24,24
2012,TNLX,23,23
2013,TNLX,21,21
2014,TNLX,24,26
2015,TNLX,24,23
2016,TNLX,21,20
2017,TNLX,24,26
2018,TNLX,14,17
2009,BZC,69,73
2010,BZC,78,67
2011,BZC,85,76
2012,BZC,80,70
2013,BZC,87,76
2014,BZC,90,75
2010,ELXS,52,50
2011,ELXS,60,55
2010,TMED,6,8
2011,TMED,7,8
2012,TMED,6,7
2013,TMED,6,6
2014,TMED,5,6
2015,TMED,5,6
2019,TMED,5,5
2010,TRN,2189,1701
2011,TRN,3075,2499
2012,TRN,3812,3071
2013,TRN,4365,3402
2014,TRN,6170,4770
2015,TRN,6393,4866
2016,TRN,4588,3581
2017,TRN,3663,2891
2018,TRN,2509,1990
2010,TRT,37,35
2011,TRT,36,34
2012,TRT,34,36
2013,TRT,32,30
2014,TRT,36,34
2015,TRT,34,31
2016,TRT,34,31
2017,TRT,39,35
2018,TRT,42,38
2019,TRT,39,36
2010,VNRX,0,0
2011,VNRX,0,2
2012,VNRX,0,4
2013,VNRX,0,4
2014,VNRX,0,6
2015,VNRX,0,10
2016,VNRX,0,12
2017,VNRX,0,15
2018,VNRX,0,17
2010,TWIN,228,214
2011,TWIN,310,266
2012,TWIN,356,297
2013,TWIN,285,262
2014,TWIN,264,242
2015,TWIN,266,237
2016,TWIN,166,174
2017,TWIN,168,166
2018,TWIN,241,214
2019,TWIN,303,270
2010,TYC,17016,14105
2011,TYC,17355,13978
2012,TYC,10403,8991
2013,TYC,10647,9045
2014,TYC,10340,8802
2015,TYC,9902,8356
2010,TSN,28430,26456
2011,TSN,32266,30530
2012,TSN,33278,31556
2013,TSN,34374,32508
2014,TSN,37580,35471
2015,TSN,41373,38367
2016,TSN,36881,33314
2017,TSN,38260,34181
2018,TSN,40052,35803
2019,TSN,42405,38342
2010,USG,2939,2911
2011,USG,3024,2980
2012,USG,3224,2977
2013,USG,3570,3151
2014,USG,3724,3255
2015,USG,3776,3264
2016,USG,3017,2474
2017,USG,3204,2696
2018,USG,3336,2933
2011,8116B,0,0
2010,UFI,617,565
2011,UFI,713,657
2012,UFI,705,668
2013,UFI,714,664
2014,UFI,688,634
2015,UFI,687,630
2016,UFI,644,582
2017,UFI,647,584
2018,UFI,679,626
2019,UFI,709,673
2010,UNF,1026,833
2011,UNF,1134,944
2012,UNF,1256,1044
2013,UNF,1356,1098
2014,UNF,1395,1128
2015,UNF,1457,1178
2016,UNF,1468,1200
2017,UNF,1591,1329
2018,UNF,1696,1409
2019,UNF,1809,1497
2010,UL.1,27444,23664
2011,UL.1,26162,21955
2012,UL.1,29371,24686
2013,UL.1,29771,24589
2014,UL.1,25387,20614
2015,UL.1,25056,20877
2016,UL.1,24092,19857
2017,UL.1,27970,22557
2018,UL.1,23879,17287
2010,UN,58731,49623
2011,UN,60282,50588
2012,UN,67676,56879
2013,UN,68615,56672
2014,UN,58612,47592
2015,UN,57848,48200
2016,UN,55623,45846
2017,UN,64576,52079
2018,UN,58369,42256
2019,UN,58331,44945
2010,UNUL.CM,58731,49623
2011,UNUL.CM,60282,50588
2012,UNUL.CM,67676,56879
2013,UNUL.CM,68615,56672
2014,UNUL.CM,58612,47592
2015,UNUL.CM,57848,48200
2016,UNUL.CM,55623,45846
2017,UNUL.CM,64576,52079
2018,UNUL.CM,58369,42256
2010,DOW2,6505,5744
2011,DOW2,6880,6311
2012,DOW2,6247,5963
2013,DOW2,6948,6087
2014,DOW2,6917,5820
2015,DOW2,5842,4424
2016,DOW2,4919,3617
2017,DOW2,5165,4075
2018,DOW2,5446,3941
2019,DOW2,4377,3394
,GFOO,0,0
2012,GFOO,0,0
2013,GFOO,0,2
2014,GFOO,0,0
2015,GFOO,0,0
2016,GFOO,0,0
2017,GFOO,0,0
2018,GFOO,0,0
2019,GFOO,0,0
2010,UG,14,8
2011,UG,14,8
2012,UG,14,7
2013,UG,15,8
2014,UG,13,8
2015,UG,14,8
2016,UG,11,7
2017,UG,13,8
2018,UG,14,8
